id,Latitude,Longitude
139,218626,145146
140,218939,145323
141,218396,143573
142,218141,143993
143,218272,143846
144,220831,142756
147,219749,144455
148,219590,143255
149,219912,144229
150,220931,143510
151,220876,143311
152,221216,142943
153,219295,141259
154,219545,141487
155,219592,141527
156,221244,142765
157,221588,142549
162,219415,144968
163,218305,144741
164,219192,145684
165,219076,145183
166,218251,143885
167,218118,144232
168,218360,144554
169,218764,144153
170,218720,144334
171,219834,141547
172,219808,141788
173,219960,141400
174,220190,142404
175,219657,143085
176,219760,142903
177,221042,142665
178,221180,143067
179,220842,143536
180,220802,143738
181,221125,143101
182,220580,143849
183,218512,143518
184,218149,144159
185,218299,143796
186,220789,143381
187,220543,143707
188,220758,143506
189,219434,141363
190,219574,141487
191,219665,141588
192,220344,142212
193,220309,142251
194,220965,142764
195,221440,142694
196,221154,143158
197,221015,143319
198,219531,143176
199,219828,143551
200,220169,143993
201,218971,144059
202,219265,143647
203,219006,143914
204,220323,142311
205,220774,142562
206,220419,142299
207,220249,142245
208,220214,142297
209,219807,142862
210,219195,143699
211,219054,143883
212,219051,143929
213,219850,141791
214,219952,141386
215,219802,141769
216,219637,143099
217,219625,143080
218,219728,142891
219,220635,143653
220,220956,143233
221,220723,143480
222,219589,143231
223,219727,142949
224,219697,143035
225,219675,143304
226,218972,143973
227,219393,143517
228,219528,145036
229,220030,144434
230,219721,144740
231,218322,144002
232,218128,144220
233,218804,143038
234,220449,143930
235,220357,143674
236,220261,143656
237,218766,140642
238,218757,140737
239,218663,140582
240,218640,143365
241,218680,143298
242,218262,143814
243,219976,142600
244,220198,142444
245,219744,142926
246,219094,145552
247,219427,145052
248,220108,144214
249,218664,140524
250,218592,140512
251,218728,140807
252,220404,144220
253,219836,144878
254,220362,144202
255,219258,143601
256,219036,143898
257,218964,143969
258,218181,144806
259,218463,143607
260,218130,144149
261,220293,143480
262,220076,143488
263,220523,143743
264,220598,143914
265,220671,143792
266,221396,142768
267,220480,143324
268,220661,142729
269,220909,142690
270,219610,145035
271,219529,145199
272,219896,144702
273,219420,143459
274,218969,143973
275,219054,143876
276,220146,144416
277,219628,144990
278,219716,145012
279,220181,143638
280,220444,143658
281,220319,143755
282,219483,145160
283,220126,144361
284,219669,144807
285,220369,144150
286,219433,145389
287,219755,144914
288,219230,145676
289,218314,144966
290,218091,144170
291,218243,143869
292,218337,144763
293,218157,144589
294,218949,143997
295,218909,144051
296,218601,144451
297,220402,144028
298,219931,144669
299,220048,144512
300,221270,142906
301,220746,142999
302,220594,142448
303,219781,144296
304,219799,143629
305,219758,143493
306,218703,144283
307,218948,144146
308,218433,144637
309,218263,144928
310,218269,144062
311,218106,143994
312,219458,143305
313,220048,144207
314,219846,144248
315,220287,143666
316,220251,143630
317,220371,143664
318,220915,143450
319,220766,143706
320,221011,143272
321,219709,141619
322,220051,141986
323,219815,141616
324,218624,140838
325,218649,140722
326,218674,140662
327,218573,143319
328,218447,143573
329,218235,144759
330,218580,143442
331,220576,143783
332,218764,143173
333,220734,143723
334,220467,143864
335,220485,143848
336,219637,143079
337,220042,144285
338,220231,142452
339,219961,144641
340,219897,144688
341,219865,144788
342,219880,141558
343,220094,141976
344,219860,141818
345,220081,144246
346,219559,144967
347,219647,144922
348,219559,141488
349,219095,141099
350,219482,141436
351,221039,142757
352,220398,142323
353,220455,142360
354,219386,141337
355,219248,141233
356,219099,141096
357,219135,141143
358,219349,141280
359,219769,141672
360,219031,143871
361,218994,143856
362,218924,144005
363,219104,143882
364,219116,143817
365,219170,143766
366,218567,144549
367,218551,144270
368,218606,144424
369,219616,144990
370,219147,145410
371,219488,145056
372,219951,141838
373,220183,141916
374,219929,141353
375,219691,143279
376,219939,144141
377,219780,143529
378,219786,142947
379,219736,142959
380,220041,142569
381,219536,141456
382,218836,140891
383,219617,141557
384,219434,145364
385,219657,144871
386,219544,145062
387,221095,143095
388,220856,143452
389,220943,143507
390,220228,144264
391,219681,145049
392,219621,145063
393,218705,144311
394,218628,144446
395,218843,144126
396,221442,142675
397,220921,143422
398,221565,142555
399,218265,144784
400,219076,145192
401,219033,145645
402,220705,143557
403,220885,143289
404,220613,143651
405,221188,143000
406,221173,143057
407,221247,142995
408,218610,145129
409,218600,145186
410,218631,145146
411,220414,142296
412,220195,142422
413,219858,142724
414,220225,143797
415,219942,143637
416,220275,143970
417,220619,142456
418,220871,142682
419,220397,142302
420,218967,144126
421,218991,143957
422,218978,144006
423,220289,142209
424,220426,142351
425,220879,142833
426,219860,141856
427,219893,141893
428,219945,141837
429,220257,144340
430,219725,144917
431,220221,144409
432,219980,144326
433,219899,144229
434,220021,144196
435,218751,140847
436,219331,141298
437,219056,141049
438,220450,143922
439,220406,143958
440,220007,143624
441,220240,142114
442,220230,142414
443,219866,141800
444,218594,144460
445,218742,144269
446,218614,144477
447,218642,144428
448,218774,144239
449,218561,144583
450,218613,144453
451,218556,144533
452,218490,144578
453,219248,144930
454,218596,145140
455,218537,145098
456,218118,144532
457,218471,143487
458,218052,144257
459,220472,143654
460,220414,143913
461,220127,143629
462,219720,141606
463,219892,141815
464,219821,141347
465,219365,141329
466,218857,140840
467,218964,140990
468,221203,143150
469,221205,142964
470,221436,142746
471,219780,144472
472,219872,144189
473,219891,143707
474,218792,145296
475,219307,145875
476,219254,145811
477,219055,145544
478,219590,144920
479,219848,144682
480,219891,141850
481,220022,141918
482,219766,141809
483,218806,145309
484,219013,145521
485,218829,145359
486,220854,143383
487,220442,144073
488,220604,143726
489,220120,143370
490,220485,143847
491,220381,143755
492,219774,144387
493,220286,144019
494,219908,143702
495,219096,145491
496,219752,144764
497,219982,144461
498,218573,144524
499,219019,143924
500,218748,144256
501,218922,144035
502,219014,144014
503,219280,143732
504,221447,142671
505,221503,142701
506,221181,142968
507,219221,145795
508,218314,144754
509,219041,145404
510,218239,143882
511,218651,144303
512,219305,144239
513,220508,142367
514,220923,142673
515,221008,142992
516,219900,144140
517,219578,143295
518,219934,143732
519,220996,143012
520,220436,142241
521,220682,143512
522,218974,141062
523,219593,141486
524,219442,141389
525,221626,135367
526,220869,143536
527,221418,142742
528,38336,258
529,38254,145
530,38312,226
531,218545,145130
532,218490,144842
533,218952,144943
534,218815,143213
535,218183,144800
536,218498,143511
537,218678,144297
538,218685,144294
539,218727,144309
540,219832,141751
541,219763,141610
542,219860,141807
543,220046,142616
544,219642,142984
545,219966,142625
546,221455,142737
547,221049,143251
548,221500,142662
549,220938,143543
550,221168,142913
551,221264,142876
552,218396,143645
553,218224,144823
554,218805,143091
555,220700,143626
556,221057,143123
557,220830,143465
558,219095,141072
559,219072,141060
560,219413,141344
561,220540,142354
562,221088,142908
563,220596,142490
564,221362,142756
565,221268,143085
566,221487,142655
567,219788,144428
568,220003,143728
569,219852,144215
570,219239,143706
571,219331,143582
572,219321,143607
573,220391,142227
574,220368,143839
575,220603,142465
576,220000,142525
577,219506,143286
578,220236,142327
579,219116,143802
580,219414,143484
581,218962,144015
582,220333,142190
583,219650,141737
584,219858,141491
585,219801,142743
586,220265,142352
587,219592,143162
588,220695,143597
589,220626,143658
590,220573,143707
591,220015,142510
592,219831,142810
593,219738,142895
594,219017,143982
595,219040,143918
596,219222,143611
597,219967,144531
598,219485,145064
599,218996,145562
600,218182,144782
601,218151,144076
602,218191,144794
603,220204,143558
604,220422,143967
605,220087,143655
606,218585,140565
607,218560,140708
608,218663,140659
609,218270,144640
610,218196,144170
611,218423,143654
612,219918,142668
613,220074,142476
614,219693,143042
615,220284,144178
616,219980,144436
617,220040,144432
618,218590,140695
619,218668,141452
620,218588,140596
621,219538,145208
622,220403,144141
623,219562,145219
624,219076,143755
625,219079,143712
626,218958,144005
627,219144,142800
628,218161,144015
629,218800,143150
630,220295,143582
631,220489,143982
632,220346,143768
633,221399,142693
634,221128,143233
635,220926,143507
636,220464,142363
637,220572,142958
638,220976,142710
639,219830,144793
640,220172,144469
641,219911,144588
642,219352,143525
643,218955,144062
644,219018,143937
645,219837,144703
646,220328,144236
647,219931,144678
648,219957,143579
649,220405,143920
650,220320,143639
651,219187,145339
652,219175,145448
653,219575,144919
654,219571,145207
655,220089,144481
656,219800,144820
657,220062,144185
658,218877,143082
659,218946,143393
660,218088,144272
661,218523,144626
662,218135,144497
663,218597,144467
664,218589,144445
665,218628,144440
666,220161,144436
667,220308,144269
668,219878,144636
669,220436,142306
670,220401,142269
671,220296,142191
672,220067,143855
673,219788,144453
674,219935,143667
675,218621,144498
676,218668,144384
677,218650,144431
678,218179,144810
679,218707,143319
680,218137,144621
681,220156,144173
682,219875,143652
683,220362,144116
684,220147,143575
685,220351,143632
686,220519,143852
687,220923,143387
688,221475,142634
689,221069,143313
690,220139,142500
691,220137,142073
692,219846,141509
693,218614,140620
694,218685,140764
695,218623,140658
696,218431,143628
697,218576,143445
698,218237,144795
699,218085,144142
700,218244,143944
701,220035,144111
702,220600,143903
703,220036,143828
704,220027,143672
705,219861,142777
706,219520,143222
707,219645,143102
708,219994,144503
709,220093,144520
710,219609,145153
711,219898,141612
712,219916,141766
713,219805,141764
714,219459,145083
715,219397,145179
716,219460,145054
717,219329,141305
718,219506,141534
719,219277,141310
720,220323,142211
721,221187,142926
722,220764,142840
723,219157,141128
724,218954,140955
725,218938,140992
726,219532,141534
727,219514,141490
728,219142,141130
729,219209,143780
730,219435,143543
731,219389,143493
732,219142,143773
733,219327,143676
734,219032,143947
735,218827,144190
736,218628,144426
737,218905,144045
